Job,Client,Status,Project Manager,APM,Superintendent,Contract Value,Revised Contract,Start Date,Projected End Date,Actual End Date,Meeting Minutes,Revised Contract Value,Projected End Date ,Actual End Date 
"2025-710 Orange City, FL",Auto Zone,In Progress,Chris James,,Alan Tyminski,"$1,190,000.00",,11/17/25,02/21/26,,"Lindsay Caruso - Grand direction inspection passed. Flooring delivered and stored in warehouse. Interior frames expected tomorrow.
Dependencies / Blockers:
Waiting on engineer framing detail and lintel detail to close walls and begin painting and finishes. Sprinkler and electrical runs to room also waiting on hole closure.
Trades: Mechanical and e…",,,
2025-233 Jacksonville Beach,Driven Brands,In Progress,Christian Childers,Courtney Eberly,None,"$90,000.00",,09/25/25,11/03/25,,,,,
2025-1001 8th St. - Fast Oil,Franchisee,In Progress,Michael Fender,Jake Thomason,James Elliott,"$992,000.00",,10/27/25,12/27/25,,Jessica Bitner - TCO last Friday. Punch list items happening this week. Our punch walk next week. @michael@jbsconstructiongroup.com,,,
2025-1002 Austin Bluffs - Fast Oil,Franchisee,In Progress,Michael Fender,Jake Thomason,James Elliott,"$1,190,000.00",,09/02/25,12/31/25,,Jessica Bitner - Updates: Water lines fully fuctional. Footers and slab are next depending on weather. @michael@jbsconstructiongroup.com,,,
"2025-610 Show Low, AZ - Durban",Franchisee,In Progress,Michael Fender,Jake Thomason,Martin Wade,"$1,100,000.00",,11/03/25,02/17/26,,Jessica Bitner - Upates: EIFS contractor will be in on Thursday. Dumpster enclosure next week. Garage doors hopfully delivered and installed by the end of the week. Windows can go in any day this week. Rough in fully passed. @michael@jbsconstructiongroup.com,,,
2025-207 Jacksonville-Phillips Hwy,Driven Brands,In Progress,Nick Silvers,Justin Morton,Alan Tyminski,"$917,000.00",,05/27/25,Delayed,,Jessica Bitner - Updates: Concrete crew is on-site. Pad should be repoured by the end of the week. Roof complete. Sign company will be back on-site next week. Probably another 2-3 weeks out for the water heater.,,,
"2025-264 Surprise, AZ(Bell)",Driven Brands,In Progress,Nick Silvers,Justin Morton,Enrique McFarlane,"$1,323,000.00",,11/03/25,03/13/26,,Jessica Bitner - Updates: EIFS should be completed this week. Asphalt - 2nd week of Feb. Light poles delivered and need to be installed. Roof mounting unit needs to be installed. Should be finished mid-Feb. Still need power.,,,
2025-354 Millcreek,Mister Car Wash,Close out,Nick Silvers,Justin Morton,,"$648,000.00",,05/05/25,12/05/25,,Jessica Bitner - Updates: Having issues with tracks on garage door. Discuss change orders.,,,
2025-362 Sunset Hwy (1578),Mister Car Wash,Close out,Nick Silvers,Justin Morton,,"$251,065.00",,11/10/25,12/10/25,,Jessica Bitner - Updates: Waiting to hear back from the City on final CO.,,,
"2025-400 Glasgow, KY",Valvoline,In Progress,Zane Curdes,Trey Ragan,Jason Buchanan,"$1,490,260.00",,10/25/25,04/15/26,,Jessica Bitner - Updates: Electricians will be onsite today. Roof finished last week. We need to get Bryce on-site to get the warranty inspection or repairs. Spot painting on the ceiling basement. Both towers are complete. Parking lot stripes happening soon. Still need to talk to Bryce about the awning and ladder. @trey.ragan@jbsconstructiongroup.…,,,
